日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-02,600519,1530.4,1521.42,1540.2,1517.9,21674,3371883024.0,1.46,-0.46,-7.0,0.17
2025-04-03,600519,1502.4,1541.28,1558.4,1501.41,35481,5557442052.0,3.75,1.31,19.86,0.28
2025-04-07,600519,1492.41,1472.4,1509.25,1434.4,101953,15314738235.0,4.86,-4.47,-68.88,0.81
2025-04-08,600519,1485.4,1517.4,1517.4,1467.4,73876,11226977557.0,3.4,3.06,45.0,0.59
2025-04-09,600519,1497.42,1513.44,1529.2,1492.95,55630,8562928225.0,2.39,-0.26,-3.96,0.44
2025-04-10,600519,1523.39,1521.4,1527.4,1500.4,38620,5963650791.0,1.78,0.53,7.96,0.31
2025-04-11,600519,1552.37,1541.38,1552.37,1517.4,32634,5087359924.0,2.3,1.31,19.98,0.26
2025-04-14,600519,1533.37,1524.39,1538.4,1523.93,21711,3379425640.0,0.94,-1.1,-16.99,0.17
2025-04-15,600519,1524.4,1530.4,1537.4,1517.4,21489,3339942729.0,1.31,0.39,6.01,0.17
2025-04-16,600519,1524.4,1531.57,1548.4,1509.4,31156,4834880596.0,2.55,0.08,1.17,0.25
2025-04-17,600519,1526.4,1542.4,1548.9,1522.39,23846,3733924973.0,1.73,0.71,10.83,0.19
2025-04-18,600519,1538.4,1538.34,1547.4,1528.4,20298,3179974340.0,1.23,-0.26,-4.06,0.16
2025-04-21,600519,1537.9,1523.4,1537.9,1523.4,18057,2808158177.0,0.94,-0.97,-14.94,0.14
2025-04-22,600519,1522.4,1521.2,1528.7,1515.61,18432,2857525967.0,0.86,-0.14,-2.2,0.15
2025-04-23,600519,1531.4,1524.4,1531.62,1517.4,18669,2895468892.0,0.93,0.21,3.2,0.15
2025-04-24,600519,1524.4,1524.65,1533.08,1521.38,14872,2313372072.0,0.77,0.02,0.25,0.12
2025-04-25,600519,1529.5,1522.4,1533.6,1522.4,14765,2295029705.0,0.73,-0.15,-2.25,0.12
2025-04-28,600519,1524.4,1522.4,1527.4,1519.0,14660,2274252465.0,0.55,0.0,0.0,0.12
2025-04-29,600519,1522.4,1516.4,1524.94,1504.42,18922,2917422938.0,1.35,-0.39,-6.0,0.15
2025-04-30,600519,1522.39,1519.4,1539.06,1518.7,25754,4005439429.0,1.34,0.2,3.0,0.21
2025-05-06,600519,1531.4,1522.6,1531.4,1516.73,18300,2838614215.0,0.97,0.21,3.2,0.15
2025-05-07,600519,1542.4,1527.4,1542.4,1522.6,27462,4275142569.0,1.3,0.32,4.8,0.22
2025-05-08,600519,1525.4,1550.59,1565.18,1522.23,33481,5265446444.0,2.81,1.52,23.19,0.27
2025-05-09,600519,1551.39,1563.58,1569.85,1547.45,23672,3757574546.0,1.44,0.84,12.99,0.19
2025-05-12,600519,1570.4,1576.9,1591.33,1569.01,24735,3967785800.0,1.43,0.85,13.32,0.2
2025-05-13,600519,1581.32,1562.7,1581.32,1557.51,21258,3386617848.0,1.51,-0.9,-14.2,0.17
2025-05-14,600519,1562.4,1607.39,1617.4,1560.58,39460,6394735058.0,3.64,2.86,44.69,0.31
2025-05-15,600519,1607.2,1604.41,1615.99,1596.53,24733,4043402636.0,1.21,-0.19,-2.98,0.2
2025-05-16,600519,1606.39,1586.53,1609.39,1586.53,22935,3714508659.0,1.42,-1.11,-17.88,0.18
2025-05-19,600519,1568.4,1551.38,1572.4,1546.28,38063,6021950010.0,1.65,-2.22,-35.15,0.3
2025-05-20,600519,1552.4,1558.4,1567.2,1547.5,19522,3095742637.0,1.27,0.45,7.02,0.16
2025-05-21,600519,1557.4,1553.37,1568.34,1553.37,19795,3143941416.0,0.96,-0.32,-5.03,0.16
2025-05-22,600519,1553.39,1552.4,1557.39,1542.5,15090,2381236586.0,0.96,-0.06,-0.97,0.12
2025-05-23,600519,1547.6,1545.0,1560.3,1544.06,21537,3399424961.0,1.05,-0.48,-7.4,0.17
2025-05-26,600519,1542.4,1522.9,1547.03,1517.4,27087,4212944430.0,1.92,-1.43,-22.1,0.22
2025-05-27,600519,1523.4,1516.3,1531.0,1515.91,17752,2748945675.0,0.99,-0.43,-6.6,0.14
2025-05-28,600519,1516.39,1509.4,1518.86,1505.4,16266,2504624605.0,0.89,-0.46,-6.9,0.13
2025-05-29,600519,1512.4,1512.4,1527.4,1504.4,21860,3375465796.0,1.52,0.2,3.0,0.17
2025-05-30,600519,1512.55,1494.4,1517.4,1487.64,31239,4764875947.0,1.97,-1.19,-18.0,0.25
2025-06-03,600519,1480.41,1481.4,1491.4,1477.42,28979,4377892799.0,0.94,-0.87,-13.0,0.23
2025-06-04,600519,1482.9,1482.36,1495.4,1481.62,23008,3480363797.0,0.93,0.06,0.96,0.18
2025-06-05,600519,1486.4,1486.4,1488.4,1474.6,23214,3504925524.0,0.93,0.27,4.04,0.18
2025-06-06,600519,1486.2,1478.79,1491.37,1475.4,25023,3777727616.0,1.07,-0.51,-7.61,0.2
2025-06-09,600519,1477.42,1458.51,1481.1,1458.08,44959,6723839138.0,1.56,-1.37,-20.28,0.36
2025-06-10,600519,1458.4,1447.41,1464.4,1447.2,30492,4511934584.0,1.18,-0.76,-11.1,0.24
