日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-02,600941,104.6,105.37,105.59,104.31,103746,1113899799.0,1.22,0.63,0.66,1.15
2025-04-03,600941,105.01,106.7,107.07,104.89,170705,1855977605.0,2.07,1.26,1.33,1.89
2025-04-07,600941,104.21,106.16,106.91,102.31,368285,3965124095.0,4.31,-0.51,-0.54,4.08
2025-04-08,600941,105.7,109.31,109.41,105.21,322766,3549051527.0,3.96,2.97,3.15,3.58
2025-04-09,600941,109.3,110.31,110.31,106.83,190321,2103957813.0,3.18,0.91,1.0,2.11
2025-04-10,600941,109.41,108.61,109.41,106.81,171177,1882542875.0,2.36,-1.54,-1.7,1.9
2025-04-11,600941,108.0,107.5,108.1,106.83,114881,1258626227.0,1.17,-1.02,-1.11,1.27
2025-04-14,600941,107.01,108.11,108.67,106.33,132412,1458472808.0,2.18,0.57,0.61,1.47
2025-04-15,600941,108.14,109.46,109.7,107.82,123241,1373850760.0,1.74,1.25,1.35,1.37
2025-04-16,600941,109.41,111.73,111.87,108.95,186960,2119415726.0,2.67,2.07,2.27,2.07
2025-04-17,600941,111.65,111.97,112.08,110.59,89977,1023749291.0,1.33,0.21,0.24,1.0
2025-04-18,600941,111.7,112.5,112.52,111.11,82040,937490702.0,1.26,0.47,0.53,0.91
2025-04-21,600941,112.0,110.61,112.45,110.17,121186,1372847110.0,2.03,-1.68,-1.89,1.34
2025-04-22,600941,110.51,110.62,111.38,110.37,75555,854084536.0,0.91,0.01,0.01,0.84
2025-04-23,600941,110.22,108.55,110.51,108.36,126176,1403110751.0,1.94,-1.87,-2.07,1.4
2025-04-24,600941,108.21,108.17,108.75,107.72,73109,807584735.0,0.95,-0.35,-0.38,0.81
2025-04-25,600941,108.18,108.66,108.7,107.78,61343,678460408.0,0.85,0.45,0.49,0.68
2025-04-28,600941,108.58,109.97,111.06,108.23,114623,1288430609.0,2.6,1.21,1.31,1.27
2025-04-29,600941,109.97,110.86,111.16,109.73,74123,837818604.0,1.3,0.81,0.89,0.82
2025-04-30,600941,110.86,109.96,110.89,108.99,77125,867843321.0,1.71,-0.81,-0.9,0.85
2025-05-06,600941,109.92,110.77,111.37,108.48,95678,1076006524.0,2.63,0.74,0.81,1.06
2025-05-07,600941,110.89,112.01,112.01,109.71,126810,1436702344.0,2.08,1.12,1.24,1.4
2025-05-08,600941,111.46,111.12,112.21,111.06,69158,786373770.0,1.03,-0.79,-0.89,0.77
2025-05-09,600941,111.1,111.7,112.31,110.83,90306,1027927756.0,1.33,0.52,0.58,1.0
2025-05-12,600941,111.61,111.41,111.88,110.92,70348,798846607.0,0.86,-0.26,-0.29,0.78
2025-05-13,600941,111.4,111.14,111.5,110.31,80091,906573836.0,1.07,-0.24,-0.27,0.89
2025-05-14,600941,111.0,111.67,112.21,111.0,103555,1179900635.0,1.09,0.48,0.53,1.15
2025-05-15,600941,111.6,111.34,112.01,110.93,73852,838927456.0,0.97,-0.3,-0.33,0.82
2025-05-16,600941,111.26,111.48,111.51,109.9,83578,945863562.0,1.45,0.13,0.14,0.93
2025-05-19,600941,111.21,111.96,112.39,111.12,68935,787899984.0,1.14,0.43,0.48,0.76
2025-05-20,600941,112.25,113.21,113.71,112.2,97546,1127459678.0,1.35,1.12,1.25,1.08
2025-05-21,600941,113.51,112.71,113.69,112.54,58977,679237099.0,1.02,-0.44,-0.5,0.65
2025-05-22,600941,112.81,112.54,113.45,111.98,61739,707924919.0,1.3,-0.15,-0.17,0.68
2025-05-23,600941,112.41,111.91,113.21,111.91,59467,682755022.0,1.16,-0.56,-0.63,0.66
2025-05-26,600941,112.11,112.31,112.46,111.39,53622,612384429.0,0.96,0.36,0.4,0.59
2025-05-27,600941,112.26,113.61,113.9,112.08,82640,956232797.0,1.62,1.16,1.3,0.92
2025-05-28,600941,113.48,112.56,114.08,112.34,56613,652462370.0,1.53,-0.92,-1.05,0.63
2025-05-29,600941,112.56,112.65,112.91,112.18,50868,584516364.0,0.65,0.08,0.09,0.56
2025-05-30,600941,112.64,114.54,114.7,112.42,88558,1028207835.0,2.02,1.68,1.89,0.98
2025-06-03,600941,114.04,115.39,115.47,113.84,87988,1030279736.0,1.42,0.74,0.85,0.97
2025-06-04,600941,115.31,115.34,115.69,114.97,79564,936020256.0,0.62,-0.04,-0.05,0.88
2025-06-05,600941,115.25,115.96,116.39,114.59,78829,929628289.0,1.56,0.54,0.62,0.87
2025-06-06,600941,116.4,116.61,116.75,115.15,70146,814325517.0,1.38,0.56,0.65,0.78
2025-06-09,600941,116.5,114.32,117.08,114.15,103032,1185094656.0,2.51,-1.96,-2.29,1.14
2025-06-10,600941,114.32,113.31,114.75,113.25,93499,1063804854.0,1.31,-0.88,-1.01,1.04
2025-06-11,600941,113.31,113.36,113.68,113.0,61016,691780975.0,0.6,0.04,0.05,0.68
2025-06-12,600941,113.36,111.64,113.57,111.56,105837,1186310425.0,1.77,-1.52,-1.72,1.17
2025-06-13,600941,111.65,112.22,112.76,111.65,80863,907830474.0,0.99,0.52,0.58,0.9
2025-06-16,600941,112.22,113.06,113.25,112.22,65984,744888969.0,0.92,0.75,0.84,0.73
2025-06-17,600941,113.08,112.9,113.3,111.98,47135,530403829.0,1.17,-0.14,-0.16,0.52
2025-06-18,600941,112.87,112.76,112.98,112.2,48101,541436031.0,0.69,-0.12,-0.14,0.53
2025-06-19,600941,112.66,112.7,112.92,111.36,69973,785717864.0,1.38,-0.05,-0.06,0.78
2025-06-20,600941,112.52,114.09,114.35,112.4,85879,974878603.0,1.73,1.23,1.39,0.95
2025-06-23,600941,113.5,112.5,114.69,112.0,96479,1090510435.0,2.36,-1.39,-1.59,1.07
2025-06-24,600941,112.5,112.68,113.16,112.37,81891,922903959.0,0.7,0.16,0.18,0.91
2025-06-25,600941,112.38,112.8,113.08,112.07,92252,1039703059.0,0.9,0.11,0.12,1.02
2025-06-26,600941,112.7,113.29,113.91,112.6,87135,985594093.0,1.16,0.43,0.49,0.97
2025-06-27,600941,113.19,112.17,114.28,111.9,105219,1187447539.0,2.1,-0.99,-1.12,1.17
2025-06-30,600941,111.6,112.55,113.1,111.58,81430,915553055.0,1.36,0.34,0.38,0.9
2025-07-01,600941,112.5,112.56,112.94,112.1,49920,561844589.0,0.75,0.01,0.01,0.55
2025-07-02,600941,112.5,111.89,112.87,111.87,59489,667042186.0,0.89,-0.6,-0.67,0.66
2025-07-03,600941,111.9,111.2,112.11,111.0,96663,1077620401.0,0.99,-0.62,-0.69,1.07
2025-07-04,600941,111.1,111.89,111.95,111.01,59039,658755302.0,0.85,0.62,0.69,0.65
2025-07-07,600941,111.8,112.24,112.41,111.18,66347,743186699.0,1.1,0.31,0.35,0.73
2025-07-08,600941,112.24,111.95,112.51,111.54,85209,954673780.0,0.86,-0.26,-0.29,0.94
2025-07-09,600941,111.95,113.52,114.56,111.81,160177,1817877075.0,2.46,1.4,1.57,1.77
2025-07-10,600941,113.52,112.4,113.98,112.16,102191,1154221436.0,1.6,-0.99,-1.12,1.13
2025-07-11,600941,112.36,112.76,113.99,112.03,117293,1327267317.0,1.74,0.32,0.36,1.3
2025-07-14,600941,112.81,113.18,113.66,112.63,55206,624914234.0,0.91,0.37,0.42,0.61
2025-07-15,600941,113.02,112.42,113.44,112.22,65244,734594443.0,1.08,-0.67,-0.76,0.72
2025-07-16,600941,112.43,112.95,113.33,112.43,62741,708655910.0,0.8,0.47,0.53,0.69
2025-07-17,600941,112.9,111.76,113.28,111.59,117205,1312640162.0,1.5,-1.05,-1.19,1.3
2025-07-18,600941,111.77,111.69,111.95,111.36,105441,1176094764.0,0.53,-0.06,-0.07,1.17
2025-07-21,600941,111.5,111.27,111.69,111.16,105570,1174713180.0,0.47,-0.38,-0.42,1.17
2025-07-22,600941,111.31,111.62,111.68,110.72,128901,1433579680.0,0.86,0.31,0.35,1.43
2025-07-23,600941,111.66,111.38,112.08,111.16,104866,1169984902.0,0.82,-0.22,-0.24,1.16
2025-07-24,600941,111.41,111.0,111.42,110.84,109736,1218863531.0,0.52,-0.34,-0.38,1.22
2025-07-25,600941,111.01,110.28,111.14,110.17,117948,1303810109.0,0.87,-0.65,-0.72,1.31
2025-07-28,600941,110.49,109.38,110.63,109.12,143702,1574621396.0,1.37,-0.82,-0.9,1.59
2025-07-29,600941,109.4,109.2,109.58,108.81,100987,1101093576.0,0.7,-0.16,-0.18,1.12
2025-07-30,600941,109.1,109.51,109.94,108.8,122189,1336920262.0,1.04,0.28,0.31,1.35
