日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-02,601288,4.99,5.04,5.05,4.99,3860854,1989944950.0,1.2,0.8,0.04,0.12
2025-04-03,601288,5.03,5.09,5.09,5.02,5004422,2597099711.0,1.39,0.99,0.05,0.16
2025-04-07,601288,5.03,4.9,5.04,4.79,10993627,5559714273.0,4.91,-3.73,-0.19,0.34
2025-04-08,601288,4.89,4.98,5.0,4.89,7405591,3761019087.0,2.24,1.63,0.08,0.23
2025-04-09,601288,4.96,4.95,4.99,4.9,5793546,2938660333.0,1.81,-0.6,-0.03,0.18
2025-04-10,601288,4.95,4.95,4.96,4.92,4709641,2389180889.0,0.81,0.0,0.0,0.15
2025-04-11,601288,4.96,5.0,5.0,4.93,4860435,2477601436.0,1.41,1.01,0.05,0.15
2025-04-14,601288,4.99,5.05,5.07,4.98,4573364,2366083009.0,1.8,1.0,0.05,0.14
2025-04-15,601288,5.05,5.17,5.17,5.04,6038486,3178125422.0,2.57,2.38,0.12,0.19
2025-04-16,601288,5.17,5.24,5.25,5.15,5025548,2677975122.0,1.93,1.35,0.07,0.16
2025-04-17,601288,5.23,5.24,5.25,5.17,3462211,1850574675.0,1.53,0.0,0.0,0.11
2025-04-18,601288,5.23,5.29,5.31,5.23,3559333,1924964705.0,1.53,0.95,0.05,0.11
2025-04-21,601288,5.28,5.24,5.39,5.23,4439584,2411877272.0,3.02,-0.95,-0.05,0.14
2025-04-22,601288,5.24,5.37,5.4,5.23,4887731,2678068003.0,3.24,2.48,0.13,0.15
2025-04-23,601288,5.38,5.35,5.4,5.32,3117570,1711597137.0,1.49,-0.37,-0.02,0.1
2025-04-24,601288,5.35,5.46,5.49,5.34,3960389,2204899037.0,2.8,2.06,0.11,0.12
2025-04-25,601288,5.47,5.42,5.52,5.38,4025215,2238535150.0,2.56,-0.73,-0.04,0.13
2025-04-28,601288,5.41,5.48,5.5,5.41,3152023,1765433880.0,1.66,1.11,0.06,0.1
2025-04-29,601288,5.47,5.46,5.5,5.42,2982690,1666368542.0,1.46,-0.36,-0.02,0.09
2025-04-30,601288,5.44,5.29,5.45,5.24,6559433,3556414275.0,3.85,-3.11,-0.17,0.21
2025-05-06,601288,5.29,5.25,5.31,5.21,4835624,2598219463.0,1.89,-0.76,-0.04,0.15
2025-05-07,601288,5.27,5.33,5.33,5.23,4988742,2706911004.0,1.9,1.52,0.08,0.16
2025-05-08,601288,5.33,5.31,5.38,5.3,3595512,1961037420.0,1.5,-0.38,-0.02,0.11
2025-05-09,601288,5.32,5.38,5.4,5.31,3971027,2183767533.0,1.69,1.32,0.07,0.12
2025-05-12,601288,5.37,5.39,5.42,5.33,3629025,2000386590.0,1.67,0.19,0.01,0.11
2025-05-13,601288,5.39,5.5,5.51,5.37,4040774,2259194245.0,2.6,2.04,0.11,0.13
2025-05-14,601288,5.49,5.51,5.56,5.46,4032810,2276243660.0,1.82,0.18,0.01,0.13
2025-05-15,601288,5.51,5.53,5.58,5.49,4145149,2347503088.0,1.63,0.36,0.02,0.13
