日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-02,601398,6.63,6.69,6.7,6.62,3099744,2116421300.0,1.2,0.75,0.05,0.11
2025-04-03,601398,6.66,6.73,6.74,6.66,3061669,2102242324.0,1.2,0.6,0.04,0.11
2025-04-07,601398,6.64,6.6,6.66,6.44,8491567,5702039106.0,3.27,-1.93,-0.13,0.31
2025-04-08,601398,6.54,6.66,6.68,6.52,6712678,4544166472.0,2.42,0.91,0.06,0.25
2025-04-09,601398,6.63,6.64,6.73,6.58,5661688,3844424813.0,2.25,-0.3,-0.02,0.21
2025-04-10,601398,6.64,6.59,6.64,6.57,4013375,2710599655.0,1.05,-0.75,-0.05,0.15
2025-04-11,601398,6.6,6.64,6.64,6.56,3475545,2348002468.0,1.21,0.76,0.05,0.13
2025-04-14,601398,6.62,6.71,6.74,6.61,4394042,3007411465.0,1.96,1.05,0.07,0.16
2025-04-15,601398,6.71,6.8,6.81,6.7,3841790,2662998736.0,1.64,1.34,0.09,0.14
2025-04-16,601398,6.8,6.9,6.9,6.77,4132402,2892689930.0,1.91,1.47,0.1,0.15
2025-04-17,601398,6.89,6.89,6.92,6.8,2639188,1851782419.0,1.74,-0.14,-0.01,0.1
2025-04-18,601398,6.88,6.98,7.01,6.87,3884345,2766835232.0,2.03,1.31,0.09,0.14
2025-04-21,601398,6.97,6.89,7.09,6.89,3742984,2668689810.0,2.87,-1.29,-0.09,0.14
2025-04-22,601398,6.89,6.99,7.0,6.88,2997871,2134511557.0,1.74,1.45,0.1,0.11
2025-04-23,601398,6.98,6.95,7.01,6.91,2569773,1828680838.0,1.43,-0.57,-0.04,0.1
2025-04-24,601398,6.93,7.08,7.13,6.93,3576109,2578423054.0,2.88,1.87,0.13,0.13
2025-04-25,601398,7.09,7.05,7.15,7.01,2326020,1680542606.0,1.98,-0.42,-0.03,0.09
2025-04-28,601398,7.06,7.13,7.18,7.06,2853766,2081021042.0,1.7,1.13,0.08,0.11
2025-04-29,601398,7.14,7.11,7.17,7.08,2179738,1585106865.0,1.26,-0.28,-0.02,0.08
2025-04-30,601398,7.06,6.85,7.07,6.81,6449971,4547350160.0,3.66,-3.66,-0.26,0.24
2025-05-06,601398,6.85,6.82,6.87,6.77,3663741,2553328289.0,1.46,-0.44,-0.03,0.14
2025-05-07,601398,6.85,6.95,6.95,6.81,4336456,3063562853.0,2.05,1.91,0.13,0.16
2025-05-08,601398,6.93,6.95,7.01,6.92,2837121,2017330424.0,1.29,0.0,0.0,0.11
2025-05-09,601398,6.94,7.01,7.07,6.94,3121965,2237795766.0,1.87,0.86,0.06,0.12
2025-05-12,601398,6.99,7.0,7.02,6.95,2702770,1932351708.0,1.0,-0.14,-0.01,0.1
2025-05-13,601398,7.0,7.07,7.09,6.96,2767459,1994786847.0,1.86,1.0,0.07,0.1
2025-05-14,601398,7.07,7.07,7.12,7.04,2868697,2076209237.0,1.13,0.0,0.0,0.11
2025-05-15,601398,7.07,7.11,7.13,7.06,2702621,1961219204.0,0.99,0.57,0.04,0.1
2025-05-16,601398,7.1,7.0,7.14,6.96,3935141,2821005777.0,2.53,-1.55,-0.11,0.15
2025-05-19,601398,7.0,6.96,7.04,6.95,2566691,1835179445.0,1.29,-0.57,-0.04,0.1
2025-05-20,601398,6.98,6.97,7.0,6.94,1976912,1409121067.0,0.86,0.14,0.01,0.07
2025-05-21,601398,6.97,6.98,7.03,6.95,2540713,1817575023.0,1.15,0.14,0.01,0.09
2025-05-22,601398,6.99,6.96,7.0,6.94,2940759,2095825511.0,0.86,-0.29,-0.02,0.11
