日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-02,601939,8.45,8.56,8.58,8.44,921713,804375765.0,1.65,1.18,0.1,0.96
2025-04-03,601939,8.51,8.71,8.71,8.49,1351555,1197318207.0,2.57,1.75,0.15,1.41
2025-04-07,601939,8.62,8.67,8.78,8.4,2536284,2228281245.0,4.36,-0.46,-0.04,2.64
2025-04-08,601939,8.59,8.76,8.82,8.48,2493459,2207982290.0,3.92,1.04,0.09,2.6
2025-04-09,601939,8.68,8.59,8.8,8.56,1975177,1743527608.0,2.74,-1.94,-0.17,2.06
2025-04-10,601939,8.61,8.53,8.61,8.49,1250340,1090796889.0,1.4,-0.7,-0.06,1.3
2025-04-11,601939,8.54,8.58,8.58,8.47,1138682,994582346.0,1.29,0.59,0.05,1.19
2025-04-14,601939,8.55,8.72,8.73,8.52,1448310,1283293189.0,2.45,1.63,0.14,1.51
2025-04-15,601939,8.69,8.77,8.8,8.67,992340,889553702.0,1.49,0.57,0.05,1.03
2025-04-16,601939,8.79,8.86,8.86,8.73,1147067,1034667449.0,1.48,1.03,0.09,1.2
2025-04-17,601939,8.85,8.87,8.89,8.74,806686,728991248.0,1.69,0.11,0.01,0.84
2025-04-18,601939,8.84,9.01,9.03,8.84,997120,915259718.0,2.14,1.58,0.14,1.04
2025-04-21,601939,8.99,8.87,9.14,8.86,1236181,1134289619.0,3.11,-1.55,-0.14,1.29
2025-04-22,601939,8.84,8.98,9.07,8.84,1005900,924556659.0,2.59,1.24,0.11,1.05
2025-04-23,601939,8.98,8.91,9.01,8.89,673365,615697867.0,1.34,-0.78,-0.07,0.7
2025-04-24,601939,8.91,9.06,9.09,8.9,860672,794557523.0,2.13,1.68,0.15,0.9
2025-04-25,601939,9.07,9.0,9.14,8.95,801894,739687901.0,2.1,-0.66,-0.06,0.84
2025-04-28,601939,9.01,9.18,9.19,8.97,1098454,1024721433.0,2.44,2.0,0.18,1.14
2025-04-29,601939,9.17,9.15,9.26,9.12,738793,692042354.0,1.53,-0.33,-0.03,0.77
2025-04-30,601939,9.08,8.85,9.12,8.81,2244421,2037619175.0,3.39,-3.28,-0.3,2.34
2025-05-06,601939,8.85,8.84,8.9,8.68,1046287,943905086.0,2.49,-0.11,-0.01,1.09
2025-05-07,601939,8.9,9.02,9.04,8.79,1265538,1160260075.0,2.83,2.04,0.18,1.32
2025-05-08,601939,9.0,9.1,9.16,9.0,1100916,1025388781.0,1.77,0.89,0.08,1.15
2025-05-09,601939,9.14,9.24,9.33,9.14,783060,721316898.0,2.09,1.54,0.14,0.82
2025-05-12,601939,9.23,9.17,9.27,9.14,1023705,940426066.0,1.41,-0.76,-0.07,1.07
2025-05-13,601939,9.2,9.26,9.27,9.1,832390,766863977.0,1.85,0.98,0.09,0.87
2025-05-14,601939,9.22,9.25,9.33,9.2,1056509,978245032.0,1.4,-0.11,-0.01,1.1
2025-05-15,601939,9.23,9.23,9.32,9.22,699901,647966319.0,1.08,-0.22,-0.02,0.73
2025-05-16,601939,9.25,9.18,9.26,9.11,763937,699289935.0,1.63,-0.54,-0.05,0.8
2025-05-19,601939,9.18,9.16,9.23,9.15,608340,558838912.0,0.87,-0.22,-0.02,0.63
2025-05-20,601939,9.17,9.16,9.22,9.12,605800,554875192.0,1.09,0.0,0.0,0.63
2025-05-21,601939,9.15,9.17,9.2,9.11,658202,602918240.0,0.98,0.11,0.01,0.69
2025-05-22,601939,9.16,9.17,9.2,9.11,572813,524468862.0,0.98,0.0,0.0,0.6
2025-05-23,601939,9.18,9.08,9.22,9.07,920336,839238955.0,1.64,-0.98,-0.09,0.96
2025-05-26,601939,9.09,9.04,9.1,9.02,615211,556893316.0,0.88,-0.44,-0.04,0.64
2025-05-27,601939,9.05,9.07,9.12,9.04,531772,482843217.0,0.88,0.33,0.03,0.55
2025-05-28,601939,9.07,9.05,9.09,9.03,346601,313581188.0,0.66,-0.22,-0.02,0.36
2025-05-29,601939,9.05,9.01,9.06,8.97,615101,553591664.0,0.99,-0.44,-0.04,0.64
2025-05-30,601939,9.01,9.03,9.08,8.99,670206,605710871.0,1.0,0.22,0.02,0.7
2025-06-03,601939,9.03,9.06,9.11,8.99,850308,770342594.0,1.33,0.33,0.03,0.89
2025-06-04,601939,9.07,9.01,9.08,9.01,735117,663891115.0,0.77,-0.55,-0.05,0.77
2025-06-05,601939,9.01,9.0,9.03,8.98,578579,520564814.0,0.55,-0.11,-0.01,0.6
2025-06-06,601939,9.01,9.0,9.04,8.98,499284,449248493.0,0.67,0.0,0.0,0.52
2025-06-09,601939,9.0,8.96,9.0,8.93,696119,623176113.0,0.78,-0.44,-0.04,0.73
2025-06-10,601939,8.96,8.97,9.05,8.93,1005137,904514450.0,1.34,0.11,0.01,1.05
2025-06-11,601939,8.96,8.92,8.97,8.9,1299147,1159661869.0,0.78,-0.56,-0.05,1.35
2025-06-12,601939,8.93,8.89,8.93,8.89,659638,587246252.0,0.45,-0.34,-0.03,0.69
2025-06-13,601939,8.9,8.86,8.92,8.83,914690,810721056.0,1.01,-0.34,-0.03,0.95
2025-06-16,601939,8.86,9.0,9.0,8.8,1315620,1171070517.0,2.26,1.58,0.14,1.37
2025-06-17,601939,8.98,9.02,9.03,8.95,672644,605677298.0,0.89,0.22,0.02,0.7
2025-06-18,601939,9.02,9.22,9.22,9.01,1504507,1375312317.0,2.33,2.22,0.2,1.57
2025-06-19,601939,9.19,9.22,9.24,9.14,848636,780760493.0,1.08,0.0,0.0,0.88
2025-06-20,601939,9.22,9.31,9.31,9.18,935533,866898271.0,1.41,0.98,0.09,0.98
2025-06-23,601939,9.3,9.45,9.47,9.24,1099122,1031402014.0,2.47,1.5,0.14,1.15
2025-06-24,601939,9.4,9.48,9.5,9.35,1012862,955896721.0,1.59,0.32,0.03,1.06
2025-06-25,601939,9.45,9.55,9.56,9.36,984130,933715021.0,2.11,0.74,0.07,1.03
2025-06-26,601939,9.52,9.57,9.6,9.46,889446,849117529.0,1.47,0.21,0.02,0.93
2025-06-27,601939,9.56,9.37,9.67,9.34,1730221,1637882598.0,3.45,-2.09,-0.2,1.8
2025-06-30,601939,9.33,9.44,9.54,9.31,1563466,1472190018.0,2.45,0.75,0.07,1.63
2025-07-01,601939,9.47,9.71,9.75,9.45,1392205,1346175814.0,3.18,2.86,0.27,1.45
2025-07-02,601939,9.75,9.76,9.89,9.71,1007812,988666100.0,1.85,0.51,0.05,1.05
2025-07-03,601939,9.77,9.68,9.88,9.68,821492,800967679.0,2.05,-0.82,-0.08,0.86
2025-07-04,601939,9.74,9.8,9.85,9.7,781270,764244737.0,1.55,1.24,0.12,0.81
